epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,10451.6,0.19856,0.18576,0.87264,0.99603,1,0.99479,0.99228,0.10374,0.08563,0.76423,0.000161,0.000161,0.000161
90,10569,0.1982,0.18602,0.87713,0.99318,0.99942,0.99461,0.99213,0.10466,0.08814,0.76719,0.000148625,0.000148625,0.000148625
91,10688.8,0.12636,0.13327,0.83603,0.99283,0.99,0.9937,0.99174,0.10817,0.10573,0.76851,0.00013625,0.00013625,0.00013625
92,10806.3,0.12555,0.12741,0.83218,0.99194,1,0.99444,0.99321,0.10575,0.09773,0.76421,0.000123875,0.000123875,0.000123875
93,10924.1,0.12409,0.13445,0.83671,0.9959,1,0.99481,0.99374,0.10606,0.08722,0.76318,0.0001115,0.0001115,0.0001115
94,11041.7,0.12494,0.12709,0.83214,0.98802,1,0.99494,0.99393,0.10031,0.09197,0.76072,9.9125e-05,9.9125e-05,9.9125e-05
95,11159,0.11644,0.12046,0.83409,0.99519,1,0.99477,0.9937,0.10265,0.08821,0.76196,8.675e-05,8.675e-05,8.675e-05
96,11277.4,0.11679,0.1199,0.82249,0.98772,0.99894,0.99481,0.99382,0.09956,0.09184,0.75951,7.4375e-05,7.4375e-05,7.4375e-05
97,11394.5,0.1148,0.11893,0.83225,0.98873,0.99084,0.99482,0.99387,0.09901,0.09,0.76034,6.2e-05,6.2e-05,6.2e-05
98,11511.4,0.11286,0.11219,0.8314,0.9936,0.99093,0.99488,0.99386,0.09856,0.08349,0.75941,4.9625e-05,4.9625e-05,4.9625e-05
99,11628.4,0.10846,0.10638,0.82725,0.99216,0.9906,0.99477,0.99374,0.0957,0.08726,0.75912,3.725e-05,3.725e-05,3.725e-05
100,11741.8,0.1068,0.10424,0.8235,0.99167,0.99092,0.99475,0.99382,0.09564,0.08487,0.75858,2.4875e-05,2.4875e-05,2.4875e-05
